ID	peaks-ENCFF128AKC.mapped.json	peaks-ENCFF663QIZ.mapped.json	strand	peak-union	counts-ENCFF128AKC.mapped.json	counts-ENCFF663QIZ.mapped.json	count-union	union-max-diff	aliases	object_type	display_name	biotype	description	seq_region_name	parent	is_canonical
ENSG00000210049	{'chrM:590-606', 'chrM:613-645'}	{'chrM:614-643', 'chrM:586-611'}	+	{'chrM:590-606', 'chrM:614-643', 'chrM:586-611', 'chrM:613-645'}	2	2	4	4	"[""trnF"",""MTTF""]"	Gene	MT-TF	Mt_tRNA	mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481]	MT		
ENSG00000173457	{'chr11:64246778-64246827', 'chr11:64246607-64246649', 'chr11:64246827-64246884', 'chr11:64246673-64246742'}	{'chr11:64246754-64246841'}	-	{'chr11:64246754-64246841', 'chr11:64246607-64246649', 'chr11:64246827-64246884', 'chr11:64246778-64246827', 'chr11:64246673-64246742'}	4	1	5	2	"[""PLCB3N"",""SOM172"",""PNG"",""PHI-1""]"	Gene	PPP1R14B	protein_coding	protein phosphatase 1 regulatory inhibitor subunit 14B [Source:HGNC Symbol;Acc:HGNC:9057]	11		
ENSG00000198836	{'chr3:193655777-193655800'}	{'chr3:193655792-193655800', 'chr3:193655777-193655782', 'chr3:193655782-193655791'}	+	{'chr3:193655777-193655800', 'chr3:193655782-193655791', 'chr3:193655777-193655782', 'chr3:193655792-193655800'}	1	3	4	2	"[""MGM1"",""NPG"",""KIAA0567"",""FLJ12460"",""NTG""]"	Gene	OPA1	protein_coding	OPA1 mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	3		
ENSG00000104964	{'chr19:3062298-3062354', 'chr19:3062214-3062266'}	{'chr19:3062197-3062426'}	-	{'chr19:3062298-3062354', 'chr19:3062197-3062426', 'chr19:3062214-3062266'}	2	1	3	2	"[""AES"",""GRG5""]"	Gene	TLE5	protein_coding	TLE family member 5, transcriptional modulator [Source:HGNC Symbol;Acc:HGNC:307]	19		
ENSG00000151320	{'chr14:32485078-32485118'}	{'chr14:32484901-32484948', 'chr14:32485078-32485122'}	+	{'chr14:32484901-32484948', 'chr14:32485078-32485122', 'chr14:32485078-32485118'}	1	2	3	2	"[""mAKAP"",""PRKA6"",""AKAP100"",""ADAP6"",""KIAA0311""]"	Gene	AKAP6	protein_coding	A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]	14		
ENSG00000173638	{'chr21:45530234-45530278', 'chr21:45510421-45510473'}	{'chr21:45515461-45515519'}	-	{'chr21:45515461-45515519', 'chr21:45530234-45530278', 'chr21:45510421-45510473'}	2	1	3	2	"[""RFC1"",""FOLT""]"	Gene	SLC19A1	protein_coding	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	21		
ENSG00000210100	{'chrM:4291-4329'}	{'chrM:4317-4332', 'chrM:4294-4317'}	+	{'chrM:4291-4329', 'chrM:4317-4332', 'chrM:4294-4317'}	1	2	3	2	"[""MTTI"",""trnI""]"	Gene	MT-TI	Mt_tRNA	mitochondrially encoded tRNA-Ile (AUU/C) [Source:HGNC Symbol;Acc:HGNC:7488]	MT		
ENSG00000210174	{'chrM:10420-10447', 'chrM:10447-10452'}	{'chrM:10417-10451'}	+	{'chrM:10420-10447', 'chrM:10417-10451', 'chrM:10447-10452'}	2	1	3	2	"[""trnR"",""MTTR""]"	Gene	MT-TR	Mt_tRNA	mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496]	MT		
ENSG00000210176	{'chrM:12166-12202'}	{'chrM:12171-12208', 'chrM:12163-12171'}	+	{'chrM:12171-12208', 'chrM:12166-12202', 'chrM:12163-12171'}	1	2	3	2	"[""trnH"",""MTTH""]"	Gene	MT-TH	Mt_tRNA	mitochondrially encoded tRNA-His (CAU/C) [Source:HGNC Symbol;Acc:HGNC:7487]	MT		
ENSG00000278996	{'chr21:8217982-8218062', 'chr21:8218741-8218824'}	{'chr21:8213736-8213777'}	+	{'chr21:8217982-8218062', 'chr21:8218741-8218824', 'chr21:8213736-8213777'}	2	1	3	2	"[""""]"	Gene		lncRNA	novel transcript	21		
ENSG00000280441	{'chr21:8401780-8401852'}	{'chr21:8401780-8401818', 'chr21:8401818-8401841'}	+	{'chr21:8401780-8401852', 'chr21:8401780-8401818', 'chr21:8401818-8401841'}	1	2	3	2	"[""""]"	Gene		lncRNA	novel transcript	21		
ENSG00000111328	{'chr12:123271619-123271667'}	{'chr12:123271769-123271829'}	-	{'chr12:123271769-123271829', 'chr12:123271619-123271667'}	1	1	2	2	"[""DORC1"",""p12DOC-1"",""ST19"",""DOC1"",""doc-1""]"	Gene	CDK2AP1	protein_coding	cyclin dependent kinase 2 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14002]	12		
ENSG00000210184	{'chrM:12206-12247'}	{'chrM:12171-12208'}	+	{'chrM:12171-12208', 'chrM:12206-12247'}	1	1	2	2	"[""RP8"",""TRNS2"",""MTTS2""]"	Gene	MT-TS2	Mt_tRNA	mitochondrially encoded tRNA-Ser (AGU/C) 2 [Source:HGNC Symbol;Acc:HGNC:7498]	MT		
ENSG00000210191	{'chrM:12275-12300'}	{'chrM:12275-12302'}	+	{'chrM:12275-12300', 'chrM:12275-12302'}	1	1	2	2	"[""MTTL2"",""TRNL2""]"	Gene	MT-TL2	Mt_tRNA	mitochondrially encoded tRNA-Leu (CUN) 2 [Source:HGNC Symbol;Acc:HGNC:7491]	MT		
ENSG00000210195	{'chrM:15918-15951'}	{'chrM:15918-15955'}	+	{'chrM:15918-15951', 'chrM:15918-15955'}	1	1	2	2	"[""LIMM"",""trnT"",""MTTT""]"	Gene	MT-TT	Mt_tRNA	mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499]	MT		
ENSG00000228716	{'chr5:80651228-80651273'}	{'chr5:80651225-80651304'}	-	{'chr5:80651228-80651273', 'chr5:80651225-80651304'}	1	1	2	2	"[""""]"	Gene	DHFR	protein_coding	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	5		
ENSG00000283813	{'chr11:10508275-10508298'}	{'chr11:10508268-10508333'}	-	{'chr11:10508275-10508298', 'chr11:10508268-10508333'}	1	1	2	2	"[""hsa-mir-4485""]"	Gene	MIR4485	miRNA	microRNA 4485 [Source:HGNC Symbol;Acc:HGNC:41628]	11		
ENSG00000188511	{'chr22:49628087-49628147', 'chr22:49616889-49616970', 'chr22:49632783-49632813', 'chr22:49630500-49630522', 'chr22:49642833-49642858', 'chr22:49644302-49644342', 'chr22:49614140-49614181', 'chr22:49630571-49630605', 'chr22:49637062-49637085', 'chr22:49646427-49646503', 'chr22:49648097-49648144', 'chr22:49568180-49568230', 'chr22:49577859-49577898', 'chr22:49624540-49624578', 'chr22:49586320-49586362', 'chr22:49623508-49623550', 'chr22:49581497-49581513', 'chr22:49577263-49577343', 'chr22:49621841-49621866', 'chr22:49637348-49637410', 'chr22:49630906-49630961', 'chr22:49618048-49618143', 'chr22:49644028-49644080', 'chr22:49492121-49492158', 'chr22:49616994-49617026', 'chr22:49638240-49638326', 'chr22:49645881-49645904', 'chr22:49643828-49643904', 'chr22:49634409-49634453', 'chr22:49581253-49581293', 'chr22:49641073-49641111', 'chr22:49627093-49627193', 'chr22:49587447-49587525', 'chr22:49640539-49640573', 'chr22:49630167-49630208', 'chr22:49602518-49602555', 'chr22:49639935-49639958', 'chr22:49618887-49618970', 'chr22:49570007-49570050', 'chr22:49625068-49625151', 'chr22:49597801-49597872', 'chr22:49618267-49618359', 'chr22:49643186-49643257', 'chr22:49656381-49656476', 'chr22:49581421-49581444', 'chr22:49584281-49584327', 'chr22:49600002-49600068', 'chr22:49646640-49646664', 'chr22:49581365-49581400', 'chr22:49637958-49637995', 'chr22:49576393-49576478', 'chr22:49599387-49599427', 'chr22:49581087-49581116', 'chr22:49645739-49645779', 'chr22:49640919-49640980', 'chr22:49643953-49644001', 'chr22:49583447-49583508', 'chr22:49623912-49623967', 'chr22:49630408-49630442', 'chr22:49580278-49580307', 'chr22:49648760-49648806', 'chr22:49644362-49644462', 'chr22:49611317-49611351', 'chr22:49579293-49579333', 'chr22:49601831-49601900', 'chr22:49647345-49647458', 'chr22:49636773-49636845', 'chr22:49622694-49622725', 'chr22:49647663-49647719', 'chr22:49598701-49598732', 'chr22:49588927-49588975'}		-	{'chr22:49628087-49628147', 'chr22:49616889-49616970', 'chr22:49632783-49632813', 'chr22:49630500-49630522', 'chr22:49642833-49642858', 'chr22:49644302-49644342', 'chr22:49614140-49614181', 'chr22:49630571-49630605', 'chr22:49637062-49637085', 'chr22:49646427-49646503', 'chr22:49648097-49648144', 'chr22:49568180-49568230', 'chr22:49577859-49577898', 'chr22:49624540-49624578', 'chr22:49586320-49586362', 'chr22:49623508-49623550', 'chr22:49581497-49581513', 'chr22:49577263-49577343', 'chr22:49621841-49621866', 'chr22:49637348-49637410', 'chr22:49630906-49630961', 'chr22:49618048-49618143', 'chr22:49644028-49644080', 'chr22:49492121-49492158', 'chr22:49616994-49617026', 'chr22:49638240-49638326', 'chr22:49645881-49645904', 'chr22:49643828-49643904', 'chr22:49634409-49634453', 'chr22:49581253-49581293', 'chr22:49641073-49641111', 'chr22:49627093-49627193', 'chr22:49587447-49587525', 'chr22:49640539-49640573', 'chr22:49630167-49630208', 'chr22:49602518-49602555', 'chr22:49639935-49639958', 'chr22:49618887-49618970', 'chr22:49570007-49570050', 'chr22:49625068-49625151', 'chr22:49597801-49597872', 'chr22:49618267-49618359', 'chr22:49643186-49643257', 'chr22:49656381-49656476', 'chr22:49581421-49581444', 'chr22:49584281-49584327', 'chr22:49600002-49600068', 'chr22:49646640-49646664', 'chr22:49581365-49581400', 'chr22:49637958-49637995', 'chr22:49576393-49576478', 'chr22:49599387-49599427', 'chr22:49581087-49581116', 'chr22:49645739-49645779', 'chr22:49640919-49640980', 'chr22:49643953-49644001', 'chr22:49583447-49583508', 'chr22:49623912-49623967', 'chr22:49630408-49630442', 'chr22:49580278-49580307', 'chr22:49648760-49648806', 'chr22:49644362-49644462', 'chr22:49611317-49611351', 'chr22:49579293-49579333', 'chr22:49601831-49601900', 'chr22:49647345-49647458', 'chr22:49636773-49636845', 'chr22:49622694-49622725', 'chr22:49647663-49647719', 'chr22:49598701-49598732', 'chr22:49588927-49588975'}	71	0	71	0	"[""C22orf34""]"	Gene	MIR3667HG	lncRNA	MIR3667 host gene [Source:HGNC Symbol;Acc:HGNC:28010]	22		
ENSG00000071626	{'chr19:1416794-1416831', 'chr19:1409319-1409353', 'chr19:1415987-1416044', 'chr19:1408591-1408602', 'chr19:1415541-1415589', 'chr19:1408324-1408373', 'chr19:1408249-1408324', 'chr19:1408695-1408757', 'chr19:1415242-1415292', 'chr19:1413241-1413269', 'chr19:1411242-1411249', 'chr19:1407976-1408125', 'chr19:1413344-1413396', 'chr19:1409978-1410033', 'chr19:1415800-1415900', 'chr19:1434810-1434849', 'chr19:1409686-1409742', 'chr19:1409419-1409469', 'chr19:1420503-1420559', 'chr19:1410443-1410487', 'chr19:1418546-1418614', 'chr19:1419439-1419458', 'chr19:1418739-1418790', 'chr19:1411891-1411918', 'chr19:1412223-1412307', 'chr19:1408647-1408695'}		+	{'chr19:1416794-1416831', 'chr19:1409319-1409353', 'chr19:1415987-1416044', 'chr19:1408591-1408602', 'chr19:1415541-1415589', 'chr19:1408324-1408373', 'chr19:1408249-1408324', 'chr19:1408695-1408757', 'chr19:1415242-1415292', 'chr19:1413241-1413269', 'chr19:1411242-1411249', 'chr19:1407976-1408125', 'chr19:1413344-1413396', 'chr19:1409978-1410033', 'chr19:1415800-1415900', 'chr19:1434810-1434849', 'chr19:1409686-1409742', 'chr19:1409419-1409469', 'chr19:1420503-1420559', 'chr19:1410443-1410487', 'chr19:1418546-1418614', 'chr19:1419439-1419458', 'chr19:1418739-1418790', 'chr19:1411891-1411918', 'chr19:1412223-1412307', 'chr19:1408647-1408695'}	26	0	26	0	"[""MGC19907""]"	Gene	DAZAP1	protein_coding	DAZ associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2683]	19		
ENSG00000105220	{'chr19:34391893-34391938', 'chr19:34383410-34383468', 'chr19:34391292-34391318', 'chr19:34392041-34392103', 'chr19:34391660-34391714', 'chr19:34391318-34391335', 'chr19:34386543-34386590', 'chr19:34392030-34392041', 'chr19:34391818-34391867', 'chr19:34387103-34387166', 'chr19:34391949-34392012', 'chr19:34392193-34392207', 'chr19:34391249-34391292', 'chr19:34392012-34392030', 'chr19:34394474-34394514', 'chr19:34383722-34383827', 'chr19:34383157-34383216', 'chr19:34385945-34385994', 'chr19:34390528-34390568', 'chr19:34391507-34391577', 'chr19:34385994-34386081', 'chr19:34383701-34383722'}		+	{'chr19:34391893-34391938', 'chr19:34383410-34383468', 'chr19:34391292-34391318', 'chr19:34392041-34392103', 'chr19:34391660-34391714', 'chr19:34391318-34391335', 'chr19:34386543-34386590', 'chr19:34392030-34392041', 'chr19:34391818-34391867', 'chr19:34387103-34387166', 'chr19:34391949-34392012', 'chr19:34392193-34392207', 'chr19:34391249-34391292', 'chr19:34392012-34392030', 'chr19:34394474-34394514', 'chr19:34383722-34383827', 'chr19:34383157-34383216', 'chr19:34385945-34385994', 'chr19:34390528-34390568', 'chr19:34391507-34391577', 'chr19:34385994-34386081', 'chr19:34383701-34383722'}	22	0	22	0	"[""AMF"",""NLK""]"	Gene	GPI	protein_coding	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	19		
